District,State,Dis_lat,Dis_lng
Anchorage School District,Alaska,61.2469304393828, -149.68842499065653
Bixby Public Schools,Oklahoma,35.9419185953137,-95.8831044889413
Bonneville Joint School District No 93,Idaho,43.5286988313708,-111.9647872034770
Bristow Public Schools,Oklahoma,35.8328216325826,-96.3962671656490
Canyons School District,Utah,40.5635115103968,-111.8351035108640
Central York School District,Pennsylvania,39.9969994112283,-76.7121352675437
Cherokee County School District,Georgia,34.2376982235868,-84.4854544063103
Clay County District Schools,Florida,30.0164516726681,-81.6829752704337
Clear Creek Independent School District,Texas,29.5385080876023,-95.1180999253805
Community High School District 117,Illinois,42.4770838629053,-88.0918823827052
Cypress-Fairbanks Independent School District,Texas,29.9728147174768,-95.6939500872835
Eastern Lancaster County School District,Pennsylvania,40.1453922130127,-76.0333126168493
Granite School District,Utah,40.6697635623294,-111.9326484568790
Hanover County Public Schools,Virginia,37.7867911797802,-77.5183203437856
Harlem School District 122,Illinois,42.3406073953680,-89.0177095624807
Hudson City Schools,Ohio,42.2528220713515,-73.7813817685923
Indian River County School District,Florida,27.7199312318088,-80.3976109977814
Iredell-Statesville School District,North Carolina,35.7575811234159,-80.8572609457080
Jackson County School District,Florida,30.7958415053141,-85.2435544448012
Lindbergh Schools,Missouri,38.5374081849834,-90.3787484909512
Lower Township Elementary School District,New Jersey,38.9890452199935,-74.9067659144890
Madison County Schools,Mississippi,32.4591536955250,-90.0948823546357
Monett R-1 School District,Missouri,36.9331832260961,-93.9180315262236
Nampa School District,Idaho,43.5776251958812,-116.5094197550580
Novi Community School District,Michigan,42.4785652125740,-83.4762135431620
Oconomowoc Area School District,Wisconsin,43.0977435621319,-88.4836690864712
Orange County Public Schools,Florida,28.5194919168022,-81.3420826102399
Osceola County School District,Florida,28.0882221503278,-81.1893618018657
Polk County Public Schools,Florida,27.8985189043842,-81.8403056547178
Regional School Unit No. 56,Maine,44.5314912684427,-70.3909326844928
Sparta Township Public Schools,New Jersey,41.0378122221418,-74.6365420286468
Spring Branch Independent School District,Texas,29.7943258537731,-95.5312982288750
Washington County School District,Utah,37.3249317177816,-113.4978718089710
Westfield Public Schools,New Jersey,40.6591423547886,-74.3463958578309
Wilkes County School District,North Carolina,36.1762421961651,-81.1514987177639
Wilson County School District,Tennessee,36.2027202236487,-86.2856377481623
