,State,District,Origin_of_Challenge,Date_of_Challenge_or_Removal,Type_of_Ban,Author,Title
0,Alaska,Anchorage School District,Administrator,10/1/2021,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir
1,Arkansas,Siloam Springs School District,Formal Challenge,1/1/2022,Banned in Libraries and Classrooms,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out
2,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series)
3,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Mist and Fury (A Court of Thorns and Roses Series)
4,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A ​Court of Silver Flames (A Court of Thorns and Roses Series)
5,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Thorns and Roses (A Court of Thorns and Roses Series)
6,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Wings and Ruin (A Court of Thorns and Roses Series)
7,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Johnson, George M.",All Boys Aren't Blue
8,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Reed, Amy",Beautiful
9,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Niven, Jennifer",Breathless
10,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Hopkins, Ellen",Crank (Crank Series)
11,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Arnold, Elana K.",Damsel
12,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",Empire of Storms (Throne of Glass Series)
13,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Blume, Judy",Forever...
14,Florida,Brevard Public Schools,Administrator,11/1/2021,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir
15,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",House of Earth and Blood (Crescent City Series)
16,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Maas, Sarah J.",House of Sky and Breath (Crescent City Series)
17,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Arnold, Elana K.",Infandous
18,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Scheeres, Julia",Jesus Land: A Memoir
19,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Lo, Malinda",Last Night at the Telegraph Club
20,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Scott, Elizabeth",Living Dead Girl
21,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Sebold, Alice",Lucky
22,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Kaur, Rupi",Milk and Honey
23,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Jackson, Tiffany D.",Monday's Not Coming
24,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Rooney, Sally",Normal People
25,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Smyth, Ciara",Not My Problem
26,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Pérez, Ashley Hope",Out of Darkness
27,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Hopkins, Ellen",People Kill People
28,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,Sapphire,Push
29,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Arnold, Elana K.",Red Hood
30,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Vonnegut Jr., Kurt",Slaughterhouse-Five
31,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"McCormick, Patricia",Sold
32,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Andrews, Jesse",The Haters
33,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Myracle, Lauren",The Infinite Moment of Us
34,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Hosseini, Khaled",The Kite Runner
35,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Reed, Amy",The Nowhere Girls
36,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Chbosky, Stephen",The Perks of Being a Wallflower
37,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Dawson, Juno",This Book Is Gay
38,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Tamaki, Mariko",This One Summer
39,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Hopkins, Ellen",Tilt
40,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Hopkins, Ellen",Triangles
41,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Hopkins, Ellen",Tricks (Tricks Series)
42,Florida,Brevard Public Schools,Administrator,3/1/2022,Banned Pending Investigation,"Arnold, Elana K.",What Girls Are Made Of
43,Florida,Brevard Public Schools,Administrator,5/1/2022,Banned Pending Investigation,"Kepnes, Caroline",You: A Novel of Dark Obsession (You Series)
44,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Schiffer, Miriam B.",Stella Brings the Family
45,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Polacco, Patricia",In Our Mothers' House
46,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Kilodavis, Cheryl",My Princess Boy
47,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Fierstein, Harvey",The Sissy Duckling
48,Florida,Broward County Public Schools,Administrator,6/1/2022,Banned in Libraries and Classrooms,"Richardson, Justin",And Tango Makes Three
49,Florida,Clay County District Schools,Administrator,6/1/2022,Banned Pending Investigation,"Sebold, Alice",Lucky
50,Florida,Clay County District Schools,Administrator,12/1/2021,Banned in Libraries and Classrooms,"Johnson, George M.",All Boys Aren't Blue
51,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Sorell, Traci",At the Mountain's Base
52,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Cline-Ransome, Lesa",Before She Was Harriet
53,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Rockliff, Mara",Chik Chak Shabbat
54,Florida,Duval County Public Schools,Administrator,1/1/2022,Banned Pending Investigation,"Garcia, Isabella",Cow on the Town: Practicing the Ow Sound
