District,State_x,Dis_Latitude,Dis_Longitude
Anchorage School District,Alaska,61.24693044,-149.688425
Ankeny Community School District,Iowa,42.934105,-94.682157
Birdville Independent School District,Texas,32.307856,-101.928432
Bixby Public Schools,Oklahoma,35.9419186,-95.88310449
Blount County Schools,Tennessee,35.682895,-83.920622
Bonneville Joint School District No 93,Idaho,43.52869883,-111.9647872
Brevard Public Schools,Florida,28.22549745,-80.71472513
Bristow Public Schools,Oklahoma,35.83282163,-96.39626717
Broward County Public Schools,Florida,30.3172412,-81.65042934
Canaan Schools,Vermont,44.9948262,-71.53758799
Canutillo Independent School District,Texas,32.930896,-102.127635
Canyons School District,Utah,40.56351151,-111.8351035
Carmel Clay Schools,Indiana,39.9724638,-86.1546822
Central Kitsap School District,Washington,47.65499,-122.70202
Central York School District,Pennsylvania,39.99699941,-76.71213527
Cherokee County School District,Georgia,34.23769822,-84.48545441
Chippewa Falls Area Unified School District,Wisconsin,44.9377388,-91.3934904
Clay County District Schools,Florida,30.01645167,-81.68297527
Clear Creek Independent School District,Texas,29.53850809,-95.11809993
Collierville Schools,Tennessee,35.0448138,-89.6673044
Community High School District 117,Illinois,42.47708386,-88.09188238
Connetquot Central School District,New York,44.5817123,-73.5359697
Cypress-Fairbanks Independent School District,Texas,29.97281472,-95.69395009
Denton Independent School District,Texas,33.222624,-97.1425953
Derby Public Schools,Kansas,37.555274,-97.255696
Downingtown Area School District,Pennsylvania,40.7075231,-80.2783549
Duval County Public Schools,Florida,30.3172412,-81.65042934
East Stroudsburg Area School District,Pennsylvania,41.068476,-75.166548
Eastern Lancaster County School District,Pennsylvania,40.14539221,-76.03331262
Edmond Public Schools,Oklahoma,35.64939165,-97.39143166
Elizabethtown Area School District,Pennsylvania,40.1579711,-76.58858445
Elmbrook Schools,Wisconsin,43.0618396,-88.06806747
Fairfax County Public Schools,Virginia,38.84622,-77.30637
Fairview School District,Pennsylvania,40.0955121,-75.13280902
Flagler Schools,Florida,29.8626603,-81.31941621
Forsyth County Schools,Georgia,34.2333,-84.14485
Fort Bend ISD,Texas,29.5604756,-95.77503888
Fort Mill Schools,South Carolina,35.0135171,-80.9637619
Fox C-6 School District,Missouri,37.110195,-93.308158
Francis Howell School District,Missouri,38.702158,-90.716388
Franklin Regional School District,Pennsylvania,40.4557102,-79.6635804
Fredericksburg Independent School District,Texas,29.455148,-98.51689
Frisco Independent School District,Texas,32.307856,-101.928432
Gladwin Community Schools,Michigan,41.9890471,-84.34117402
Goddard Public Schools,Kansas,37.65974,-97.57533
Granbury Independent School District,Texas,32.307856,-101.928432
Granite School District,Utah,40.66976356,-111.9326485
Hamilton County Schools,Tennessee,35.184461,-85.168814
Hamilton Southeastern Schools,Indiana,39.9687225,-85.91528455
Hanover County Public Schools,Virginia,37.78679118,-77.51832034
Harlem School District 122,Illinois,42.3406074,-89.01770956
Harrisonburg City Public Schools,Virginia,38.4238167,-78.8447302
Haywood County Schools,North Carolina,35.57379,-82.99968
Henrico County Public Schools,Virginia,37.604456,-77.433246
Hernando School District,Florida,28.896994,-82.384227
Hudson City Schools,Ohio,42.25282207,-73.78138177
Hudsonville Public Schools,Michigan,42.8544904,-85.8599801
Indian River County School District,Florida,27.71993123,-80.397611
Iredell-Statesville School District,North Carolina,35.75758112,-80.85726095
Jackson County School District,Florida,30.79584151,-85.24355444
Katy Independent School District,Texas,32.930896,-102.127635
Keller Independent School District,Texas,32.307856,-101.928432
Kent School District,Washington,47.3711726,-122.1795862
Keokuk Community School District,Iowa,42.934105,-94.682157
Killeen Independent School District,Texas,31.09591,-97.69876
Klein Independent School District,Texas,32.307856,-101.928432
Kutztown Area School District,Pennsylvania,40.7075231,-80.2783549
Lake County Schools,Florida,28.771354,-81.807497
Lake Forest Schools,Illinois,42.2237746,-87.8746205
Lake Travis Independent School District,Texas,30.2781997,-97.81648225
Lamar Consolidated Independent School District,Texas,26.40981,-97.79814
Leander Independent School District,Texas,32.930896,-102.127635
Lee County Schools,Florida,26.550097,-81.830883
Lindbergh Schools,Missouri,38.53740818,-90.37874849
Loudoun County Public Schools,Virginia,39.03389,-77.51722
Lower Township Elementary School District,New Jersey,38.98904522,-74.90676591
Madison County Schools,Mississippi,32.4591537,-90.09488235
Marlboro Central School District,New York,44.5817123,-73.5359697
McMinn County Schools,Tennessee,35.416897,-84.613091
Medford School District 549C,Oregon,42.338167,-122.852301
Middlebury Community Schools,Indiana,39.12993305,-85.12795371
Monett R-1 School District,Missouri,36.93318323,-93.91803153
Moore County Schools,North Carolina,35.300587,-79.476361
Muskego-Norway Schools,Wisconsin,42.89803745,-88.16607679
Nampa School District,Idaho,43.5776252,-116.5094198
New Kent County Public Schools,Virginia,37.502851,-77.12473
Nixa Public Schools,Missouri,37.04531,-93.31005
North East Independent School District,Texas,29.87058,-95.29909
North Kansas City Schools,Missouri,39.14227,-94.544242
North Penn School District,Pennsylvania,40.234237,-75.315072
Novi Community School District,Michigan,42.47856521,-83.47621354
Oconomowoc Area School District,Wisconsin,43.09774356,-88.48366909
Orange County Public Schools,Florida,28.51949192,-81.34208261
Osceola County School District,Florida,28.08822215,-81.1893618
Ottumwa Community School District,Iowa,42.934105,-94.682157
Palm Beach County School District,Florida,26.6495165,-80.0933387
Pawtucket School Department,Rhode Island,41.87264,-71.37146
Pennridge School District,Pennsylvania,40.3843088,-75.2748505
Pinellas County Schools,Florida,27.8211366,-82.6817662
Pitt County Schools,North Carolina,35.603252,-77.34917
Polk County Public Schools,Florida,27.8985189,-81.84030565
Prosper Independent School District,Texas,32.307856,-101.928432
ROWVA CUSD 208,Illinois,41.07609,-90.2197
Rapid City Area Schools,South Dakota,44.068767,-103.226164
Regional School Unit No. 56,Maine,44.53149127,-70.39093268
Richardson Independent School District,Texas,32.307856,-101.928432
Roanoke County Public Schools,Virginia,37.27097,-79.94143
Rochester Community Schools District,Michigan,42.6815311,-83.1400117
Rockwood School District,Missouri,38.5102297,-90.62391652
Santa Rosa County District Schools,Florida,30.715738,-87.018355
Sarasota County School,Florida,27.338506,-82.54754951
School District of Cadott Community,Wisconsin,44.031211,-89.510986
School District of Waukesha,Wisconsin,42.982153,-88.246687
Siloam Springs School District,Arkansas,33.87889765,-93.91953757
Sparta Township Public Schools,New Jersey,41.03781222,-74.63654203
Spotsylvania County Public Schools,Virginia,38.2202509,-77.4406119
Spring Branch Independent School District,Texas,29.79432585,-95.53129823
St. Johns County School District,Florida,29.9186712,-81.3214582
St. Lucie Public Schools,Florida,27.44393,-80.33394
Tyler Independent School District,Texas,32.307856,-101.928432
Virginia Beach City Public Schools,Virginia,36.8435561,-76.07072285
Volusia County Schools,Florida,29.052386,-81.156198
Walla Walla Public Schools,Washington,46.047531,-118.393981
Waller Independent School District,Texas,32.307856,-101.928432
Walton County School District,Florida,30.7208375,-86.0986213
Wappingers Central School District,New York,44.5817123,-73.5359697
Washington County School District,Utah,37.32493172,-113.4978718
Waukee Community School District,Iowa,41.6036494,-93.86738587
Wayzata Public Schools,Minnesota,44.97679185,-93.53993323
Wentzville School District,Missouri,38.8121838,-90.86833888
West Ada School District,Idaho,43.574509,-116.2833233
Westfield Public Schools,New Jersey,40.65914235,-74.34639586
Wicomico County Public Schools,Maryland,38.38298525,-75.60350031
Wilkes County School District,North Carolina,36.1762422,-81.15149872
Williamson County Schools,Tennessee,35.9513126,-86.6709737
Wilson County School District,Tennessee,36.20272022,-86.28563775
Wissahickon School District,Pennsylvania,40.01872,-75.21185
Yorktown Central School District,New York,44.5817123,-73.5359697
